ItemName_Enc,ItemName,ItemCode,N_Observations,Mean_Sales,MAE,RMSE,MAPE,R2,Accuracy_±0.5,Accuracy_±1.0
599,"Кофе натуральный свежеобжаренный зерновой Blend №5 dark 1кг VCR, шт",1461,2,2.5,0.29996989847081035,0.4166060180747264,0.10089581635127898,0.30575770281568293,0.5,1.0
483,"Кекс-Кулич ""Добрынинский"" творожный 0,33",596,9,3.888888888888889,0.11076220803385745,0.2086231881354932,0.07543870720026098,0.9842615428354767,0.8888888888888888,1.0
1019,"Пирожки Добрынинские с мясом 0,07",295,1,2.0,0.07992312872088547,0.07992312872088547,0.039961564360442736,0.0,1.0,1.0
482,"Кекс-Кулич ""Добрынинский"" 0,45",595,15,3.2666666666666666,0.07589581989537454,0.1305012830820743,0.027631119710867468,0.9917416344841267,1.0,1.0
1,"(не_исп)Ватрушка сл. «Добрынинская» с твор. нач. и лим. 0,1",1240,1,4.0,0.07341307197083147,0.07341307197083147,0.018353267992707867,0.0,1.0,1.0
487,"Кекс-Кулич к Пасхе 0,36",1100,16,3.4375,0.06778589379016084,0.1252324420135234,0.018653620945167485,0.9942889187477046,1.0,1.0
1343,"Сосиска в тесте Добрынинская 0,11",291,2,5.0,0.057208999636578106,0.057464124674499344,0.011441799927315623,0.0,1.0,1.0
1550,ФЛЭТ УАЙТ 250  мл К,107,77,3.9740259740259742,0.055277590213321494,0.08202169870554135,0.01675579482424863,0.9963506223551601,1.0,1.0
1213,Сардельки свиные нат.оболочка вес.,835,4,0.426,0.05424910901894483,0.08263856091507422,0.12486322506570069,0.9701664784537263,1.0,1.0
452,Картошка глазированная  0.08,1221,72,4.277777777777778,0.05368991313318203,0.08498132437130952,0.01524610482186525,0.9955345964515722,1.0,1.0
1474,Тарт с творожно - банан. начинкой 95г,1247,69,3.3333333333333335,0.0520526760820733,0.0767459112597377,0.015283100408721186,0.9970832140591313,1.0,1.0
413,КОФЕ ЛАТТЕ  350  мл К,1399,72,3.5555555555555554,0.046919912509263466,0.07446619156353251,0.013675960300410408,0.9976757448457225,1.0,1.0
1342,"Сосиска в сл. тесте Добрынинская 0,1",290,9,3.7777777777777777,0.04670340518899549,0.09928390727951568,0.015803500608690017,0.9967804805087916,1.0,1.0
1056,Пирожок Добрынинский с картошкой и грибами 70г,296,10,3.8,0.045647015030688666,0.07371904918755423,0.011720444788457624,0.996516347299284,1.0,1.0
531,Колбаса Краковская п/к вес,455,21,0.42609523809523814,0.045157235726023634,0.07951379587095556,0.10674905391766644,0.9676934348605701,1.0,1.0
694,Маффин с малиновый начинкой 50 г,79,7,1.4285714285714286,0.04463922067574172,0.09458269801131994,0.01782219773394213,0.9918824360853347,1.0,1.0
1355,"Сочник с творогом 0,08",284,73,4.424657534246576,0.04437236706177506,0.08220105028232418,0.012178995545184096,0.9945092832410493,1.0,1.0
729,"Мини пирожное ""Ассорти"" 0,573",72,77,3.4675324675324677,0.04413186415050896,0.07340681747409449,0.012257782709884374,0.9976841999645129,1.0,1.0
1718,"Шоколад молочный с малиной,черникой и семенами льна 90г",919,2,2.5,0.04252399817202479,0.04963660110643857,0.016976460713950647,0.9989049812580446,1.0,1.0
456,"Картошка глазированная в уп. 0,24",227,68,3.5,0.04242743882301866,0.06247280230345061,0.011327999566626794,0.9979102844891344,1.0,1.0
1067,Пирожоки Домашние с картошкой 70г,1093,65,4.1692307692307695,0.04220756983327155,0.07005948466240977,0.011923478276799314,0.9973220945083082,1.0,1.0
1083,"Праздник 0,8",1111,3,4.666666666666667,0.04198425145469938,0.04876284547959605,0.009678061154883217,0.9892998320532986,1.0,1.0
405,КОФЕ КАПУЧИНО 250  мл К,1396,80,4.775,0.04179370208025561,0.08373284457084079,0.01029858167947086,0.9852201543927809,1.0,1.0
409,КОФЕ КАПУЧИНО 450  мл К,1401,78,4.551282051282051,0.04096990555593426,0.07606026487726493,0.01083382799076343,0.9948308213942977,1.0,1.0
1206,"Сало белорусское соленое, вес",1333,34,0.43058823529411766,0.04004130310066264,0.05257608105133638,0.09618526840409276,0.9354909336037467,1.0,1.0
1538,Трюфели классические «Cocoa Collection» «Libertad» 120г,314,3,2.0,0.03959429246252789,0.06761175992145316,0.012508159743357283,0.9990204249829265,1.0,1.0
454,"Картошка глазированная  в уп.0.49(0,035х14)",1281,72,3.3194444444444446,0.039303190570911424,0.06391215321840465,0.010923207357524953,0.9977316108090409,1.0,1.0
552,"Кольцо песочное с арахисом 0,05",95,78,4.141025641025641,0.038765811128117646,0.06549833129553696,0.01186727740922343,0.9976993784880732,1.0,1.0
1473,Тарт с вишнево-творожн. начинкой 95г,1242,72,3.5277777777777777,0.03732438068374597,0.058927152973824934,0.012064544745396536,0.9985949914057289,1.0,1.0
371,Ирис Чув Чав Гималайская соль 27г,309,82,3.1707317073170733,0.037207686317420816,0.06329976281869946,0.013177280457490498,0.9986512752073586,1.0,1.0
406,КОФЕ КАПУЧИНО 350  мл К,1398,78,4.769230769230769,0.03710420808092435,0.08514959598732764,0.009833882480579882,0.9876644965628182,1.0,1.0
622,"Кулич Панеттоне 0,44",1153,5,3.4,0.03612223392595504,0.047386202921176616,0.010619951740390817,0.9987796455286484,1.0,1.0
1294,Сироп ЛАВАНДА  Барлайн 20 мл,1407,66,2.787878787878788,0.03574371870981847,0.06812419363145403,0.009606589314503828,0.9981212095277353,1.0,1.0
1020,"Пирожки Добрынинские с яблочной начинкой 0,07",297,19,4.105263157894737,0.03525682480628006,0.057618404317344024,0.010136039434965877,0.9986224403835589,1.0,1.0
