ItemName,RMSE,MAE,MAPE,R2
"Amidis, ""Тропический микс"", манго, папайя, ананас, 113 г.",0.6654689678200929,0.6270089705358945,32.8557237786764,0.3820645298813423
"Amidis, Ананас сушеный (кольца), 113 г.",0.7687439794467091,0.5936518813421328,29.3821795575818,0.5865578597933665
"Amidis, Кешью жареный, 113 г.",0.14410370724499802,0.25595448406426397,22.34118087056359,0.5618468360793978
"Amidis, Кумкват в сахаре, 113 г.",0.0004458193410437141,0.01788215251730398,1.788215251730398,0.0
"Amidis, Манго сушеное (лист), 113 г.",0.03911506523779813,0.08636324452060652,6.362213804045103,0.5653438158779371
"Amidis, Миндаль жареный очищенный, 113 г.",0.1335514859991823,0.16045224216283333,12.09189430109925,0.3802742447932683
"Amidis, Папайя (кубики), 113 г.",0.49835084447455136,0.48644539194153363,29.94083920260574,0.450348333300127
"Amidis, Папайя жёлтая, 113 г.",1.292765449366675,0.6261590991580599,25.472488806840694,0.4950134963411428
"Amidis, Помело (лист), 113 г.",1.017813170342324,0.5533876834416959,21.038413436393576,0.4970455386320094
"Amidis, Финики с косточкой ""Алжирские"", 113 г.",0.1560963026922413,0.24460381042506732,18.313215522528143,0.4762356902311805
"Amidis, Финики с косточкой ""Иранские"" сушены, 113 г.",0.39187395280595905,0.4177803770672479,31.89527143861688,0.46163111156564507
"Amidis, Фундук жареный, 113 г.",0.0720972054423527,0.1759473256677142,13.893585324820263,0.5665974809204026
"АШТАУ лечебно-столовая минеральная вода 0,5 л",0.4687424179473489,0.36856569049359034,30.592425380300153,0.17455603473661974
"Абрикосовый аромат 0,4кг",0.5164725128059099,0.52986372841747,36.28591834711103,0.3484533927770007
"Абрикосовый аромат 0,8кг",0.29176360080396274,0.3637187052205037,25.444106054242795,0.4252433614457173
Айран «Турецкий» 2% 500г БЗМЖ,0.08356003456836986,0.12688082888569077,16.994571100201046,0.8178726127810068
"Айран «Турецкий» с укропом, петрушкой, чесноком 1,5% 500г БЗМЖ",0.08455881469188697,0.13907644848622144,20.214115637098075,0.8197071968683995
Альтернативное молоко Кокос 1 л,0.0668412512171237,0.15392370903112682,16.730481243407596,0.831870936473393
Альтернативное молоко Кокос-Банан 1 л,0.02015110987027049,0.06368869784562614,9.018903847896746,0.9333779632860445
Альтернативное молоко Миндаль 1 л,0.02820188564453179,0.08264278439596802,11.12842022755166,0.9098195517180669
"Апельсиновая карамель 0,48",0.21797836901948328,0.324043771992189,24.004546209823154,0.1844374562133333
"Апельсиновый сок VI NATURE 0,75 л",0.09719545937295086,0.2232641179423721,19.18921469586452,0.6461648445299318
"Ассорти 1,025 (порц) 0.128",1.2363667134809928,0.9052325071872884,65.80787234619436,0.2272708040743795
"Ассорти 4 вкуса 0,88",0.4731910517865886,0.5278662698568631,35.350028805781704,0.3371720018629847
"Ассорти 4 вкуса 0,88 (порц) 0.110",0.6795942539714178,0.6760718268450862,48.83092876689122,0.33589247835768965
"Ассорти рыбное филе-ломтики х/к (тунец, масляная, кета) 150г",0.06796023534140924,0.15460088794729776,16.38725171961592,0.8280307235357462
БАУРСАК Бахетле 250 г,0.2921795600642679,0.32874762556261533,33.24280433141249,0.6705010106990283
БЕЛЕВСКАЯ пастила БЕЗ САХАРА Классическая 180 г,0.04939593200562446,0.11062838511054027,10.275774837574831,0.7926579847106567
Баварские колбаски с макаронами и соусом 300г,0.04848451020960958,0.08100710715674947,12.886418040409989,0.876043670819381
Баклажаны-рулетики 300г,0.030893511719103168,0.07810454475602567,13.18698896867324,0.9153102241877422
Бастурма сыровяленая из говядины 80г,0.26727897073940476,0.32321370594017595,28.001125316374804,0.5963908159975433
Батончик PICNIC BIG арахис карам возд.рис 76г,0.11855653397744081,0.254251412261292,20.07282871328659,0.5466371647622443
"Батончик Баунти Трио 82,5 г",0.2794871095274565,0.3651572943538257,25.98519751933811,0.39875041984009363
Батончик Кит Кат из мол. шоколада с хрустящей вафлей 40г,1.1909523370995188,0.8471799714310846,54.70394415881095,0.33331918995298315
Батончик Марс Макс 81г,0.0007967804924564974,0.027622719819810217,2.7622719819810215,0.0
Батончик Отломи 45г,0.8621915960555786,0.7086365874421149,49.86221616614531,0.4801107987454827
Батончик Сникерс Супер 80 г,0.3362804736148368,0.4781386081556977,36.30389176207613,0.19930952387175538
Батончик Туррон манго миндаль 100г,0.13284555716317195,0.25514900713492994,22.36425043631727,0.6486694541690955
Батончик Туррон мягкий с миндалем 100г,0.2405851397612081,0.2382405192025318,18.987170087790442,0.5858082649734881
Батончик Туррон нуга с миндалем и фундуком в шоколадной глазури 100г,0.038305242548464784,0.1212480212307881,12.500979675493051,0.8802961170360475
Батончик Туррон с миндалем и кунжутом 50г,0.4343630853426431,0.513066422128466,35.094247725388584,0.3356357586831237
Батончик глаз.Арахис SHAKER 35г,0.7913139733017862,0.6553238855862594,46.107327305609694,0.46087113407756786
Батончик глаз.Грецкий орех SHAKER 35г,0.9913983959278336,0.8087589525938366,57.14296499442116,0.36156852495156244
Батончик глазир. Арахис-солёная карам 50 г,0.46817120857492567,0.5058456743886179,38.41070207394848,0.32528266999496
Батончик злаковый с бананом в мол. шок. KERLLI 50г,1.0190466036183703,0.7978749422309883,52.683542459085075,0.4489778419096342
Батончик злаковый с клубникой в мол. шок. KERLLI 50г,0.8647205019853161,0.698721859426811,44.99053306884874,0.4915842058342478
Батончик ореховый с ирисо-сливочным вкусом 40г,0.4367540147254309,0.5393398716345538,50.705303254699885,0.3952636719186341
