Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
Баклажаны по-гречески Донская Кухня	460гр,0.20071270103738298,0.25290599207228925,16.688348656619294,21.497009326144585,0.10300045464221097
Баклажаны-рулетики 300г,0.14590026045694934,0.27192282673654583,20.372630852698062,23.272674360335007,0.031089145972062027
Бастурма сыровяленая из  говядины 80г,0.49682680915637034,0.4206060907200672,25.079471740583255,31.54545680400504,-0.05210383115466666
Батончик PICNIC BIG арахис карам возд.рис 76г,0.4825635702087381,0.5067296407796442,33.2340185165415,36.114985447830996,0.012501183983815944
"Батончик Баунти Трио 82,5 г",0.5713830096259598,0.5477985499468514,33.88109841581955,37.73021712890417,0.01893805179618724
Батончик Кит Кат из мол. шоколада с хрустящей вафлей 40г,1.897974386794832,0.971299713250212,49.07160426218741,44.00582374317287,0.0434041389307398
Батончик Марс Макс 81г,0.48968206040900253,0.47214929319510657,32.17745913626007,34.67346371901564,-0.007176602833786294
Батончик Отломи 45г,3.241866746143846,1.109139451378157,52.85621973926538,47.673537822394465,-0.0263346594793481
Батончик Сникерс Супер 80 г,0.9926761371191831,0.7175541457278899,42.70543430077382,43.93833755778709,0.023397543394279907
Батончик Туррон манго миндаль 100г,0.3280620524238435,0.39522157919604417,26.874134048151916,30.80861129166013,-0.012385445782773896
Батончик Туррон мягкий с миндалем 100г,0.4796057888759973,0.4174502978751509,27.07595917619625,32.11156137501161,-0.0061659906489452965
Батончик Туррон нуга с миндалем и фундуком в шоколадной глазури 100г,0.09775807159829573,0.21165751810363392,16.427549269304976,19.049176629327054,0.010199525067255744
Батончик Туррон с миндалем и кунжутом 50г,1.0002310912081132,0.7227068723520191,43.312197148360774,44.10887014355047,-0.015798656415907164
Батончик глаз. Арахис-сол.карамель FitnesSHOCK 50г,0.4974709211163013,0.49202828244124486,32.08179156815817,36.158357500333345,0.022829170292914647
Батончик глаз.Арахис  SHAKER 35г,1.7092425418576858,0.9340106417390984,49.0778195665229,47.69416042923055,-0.08070659068060038
Батончик глаз.Грецкий орех SHAKER 35г,1.539310516744048,0.9274665349283424,47.79939537381304,46.871964668421604,-0.04883927559765611
Батончик глазир. Шоколад-фундук с карам 50 г,0.3607418459623778,0.44056796759862243,30.317999117172544,33.69049163989466,0.06046515803291641
Батончик злаковый с бананом в мол. шок. KERLLI 50г,4.157117058666543,1.1725010137891823,51.745722081426905,48.472108949943845,-0.025376019695418695
Батончик злаковый с клубникой в мол.шок. KERLLI 50г,2.5138823051990626,1.0333700249867854,50.98101537788451,48.25643041211875,-0.028320553975626606
Батончик неглаз. Марципановый с апельсином 40гр,0.21246391920064545,0.3905034632838954,27.96377640973407,30.37249158874742,-0.04107320408316273
Батончик неглаз. Марципановый с мятой 40гр,0.3036022838941909,0.5363190605969754,37.6061472578859,35.754604039798366,-0.21440913557676367
Батончик ореховый с ирисо-сливочным вкусом 40г,0.7006994962999463,0.6100385531979555,35.862435586672255,41.940150532359446,-0.14573836557153386
Батончик протеиновый с соленой карамелью SOJ 50г,0.6721501211682013,0.6450559946300691,41.083912338648254,41.30621719999566,0.12337542934279366
Батончик с соленой карамелью в мол.шок. SOJ MARSHIСK 30г,1.2831604051106746,0.6555208122208899,35.027515209768495,42.566286507849995,-0.027843964362924245
Батончик шоколадн.с фундуком Nuts. DUO 66г,1.0524396379098677,0.7797453195836079,47.25029910949885,44.4070204426539,0.03448046642123548
"Батончик-мюсли с клубникой ""Здоровый перекус"" 60 гр ",1.1612275171567628,0.7200759139172797,38.52790726093862,44.31236393337106,-0.08758869899560207
"Батончик-мюсли с орехами и медом ""Здоровый перекус"" 60 гр ",1.1771982401902361,0.7334928842538732,37.16803820041943,44.00957305523239,-0.11524043807496076
"Батончик-мюсли с черникой и ежевикой ""Здоровый перекус"" 60 гр ",1.221060313981592,0.7967396876451341,40.747462200015924,45.81253203959522,-0.14936104287591156
"Батончик-мюсли со сливками ""Здоровый перекус"" 60 гр ",0.39891539600023723,0.49257221972513626,30.803885263733417,34.10115367327866,-0.009754596125600257
"Безе ассорти: мята, манго, яблоко, смородина 60г",0.34622720273003477,0.42205885549570216,28.17163502881498,32.156865180624926,0.04006320687123943
"Безе клубничное, 20г.",0.0968426855798948,0.20421091553052617,15.677418203273774,18.378982397747354,0.01946780850356522
Бекон Парижский с/к вес,0.023275468745835408,0.10092026521484365,31.56675645104869,31.19170709531558,-0.49787219344725275
Бекон с/к  180г ,0.040232341890085115,0.0856972880220031,6.749557373445657,8.263667059264586,-0.12805297068738652
Бекон свиной Традиционный с/к в/у  150гр нарезка,0.6748126373061526,0.41623313160095154,24.32180704023221,32.22450051104141,0.04498260666254561
"Белая ночь (к празднику) 0,5",6.553700876792577,2.0727440172983376,70.63240321380059,59.22125763709536,-0.5420472651276653
"Белая ночь 0,95",7.847379851701954,1.3892321975064323,40.46164707981349,60.778908640906415,-0.028132654367368337
"Белиссимо 0,55",0.13830570499978342,0.20279225755805022,14.485866303466011,17.70036467703213,0.4324138985421053
"Белиссимо 0,9кг",0.6802559392098547,0.5767221634804428,35.42499487955864,37.23977398473717,0.31600509577212466
"Белые ночи 0,9",0.46475292257651274,0.46697847290633704,30.463720552439028,33.3889608128031,0.27980202229712736
Белый шоколад с кусочками какао-бобов (80гр),0.06721088699356587,0.1650826978859252,13.01946298073475,15.187608205505118,0.15346287572389672
Беляш Куряш 400г,0.4805707758412327,0.44280738420800414,26.024528886260278,33.21055381560031,-0.08128424564277359
"Беляш Омский 0,4 кг",0.2135456629741155,0.3887498179037518,28.29924036579186,30.544628549580498,-0.07662605082783247
"Бенто Клубника 0,27",6.20389613021057,0.7399489812157389,30.76923767585727,44.45114758951692,0.03702213061235893
"Бенто Лаванда 0,27",3.9571779277005477,0.811529862173973,32.044656546010735,44.66731121502522,0.129459685024918
"Бенто Манго 0,27",0.5985116618842938,0.5199892962908879,29.20184433505218,35.53260191321067,-0.01421179801159056
"Березовый сок VI NATURE 0,75 л",0.3861547318535768,0.36499970524642195,21.760706968537423,28.72128828168566,0.0484486607586726
Бефстроганов из говядины с картофельным пюре 280г,0.46797127282222417,0.5686316455085904,40.35419835196091,38.12416714205322,-0.03232446178337267
Биойогурт Апельсин 3% 330г двухсл.БЗМЖ,0.49940622566170123,0.5009964611790808,30.472435456569315,34.592612795698436,0.045453100496612
Биойогурт Земляника 3% 180г двухсл. БЗМЖ,0.16367999711843814,0.27449779268317104,20.147923202438022,23.490676489232907,0.0584536984929932
Биойогурт Лесные ягоды 3% 330г двухсл.БЗМЖ,0.28806726254135756,0.3112741197556439,19.767972738766005,25.306839004523894,0.030403020729190544
Биойогурт Малина 3% 180г двухсл. БЗМЖ,0.16971463599324396,0.27044239431765993,19.48469073521332,23.120722830266267,0.04258579259923978
Биойогурт Персик-Маракуйя 3% 330г двухсл.БЗМЖ,0.10823293279113542,0.22806153310561217,17.18262706426524,19.98061219243859,0.10857901320511065
Биойогурт Печ.груша-Злаки 3% 330г двухсл.БЗМЖ,0.20287310670728534,0.3213752980429864,23.618601835552543,26.30059837573347,0.07918484930760528
Биойогурт Черная смородина 3% 330г двухсл.БЗМЖ,0.12104615274076805,0.20426375302606123,15.178449966633828,18.288731375589204,0.06307749399476026
Биойогурт Черника 3% 180г двухсл. БЗМЖ,0.1393525504935058,0.2777757336290472,21.003172531551208,23.726677247481113,0.015749422774860578
"Бисквитно-кремовый 0,5кг",0.2678557770806173,0.35553698305178716,24.79928855835158,27.707852357117414,0.37339519038293756
"Бисквитно-кремовый 1,0",0.46350237250845056,0.45053176173282067,28.786374322451124,33.08990340410547,0.29394675100866974
"Бисквитное со сливоч. кремом в уп. 0,225",1.3214731149967813,0.7788134454740334,45.48700286814821,43.64778650458869,0.09041188416782375
Биточки куриные 300гр (нет цены),0.8287315886235693,0.692037100995365,37.26907496735012,36.249562433090546,0.0800319062068634
Биточки куриные с ассорти из цветной капусты и брокколи на пару 250г,0.5933180470920998,0.4583642246111731,24.129213301450207,32.25526025041589,0.10755077083229991
Биточки по-белорусски с гречкой и овощами 250г,0.7911726571535629,0.4011255931233679,19.380846688679032,30.855814855643683,0.023243633143749776
Биточки под томатным соусом с картофельным пюре 250г,0.10856047750740354,0.2090408206151771,16.29372547765568,19.0037109650161,-0.2062275278600394
"Биточки с индейкой, сливочным соусом и гречкой 250г",0.8072002271188703,0.6361682986086813,29.28147755376781,24.217162963843077,0.2967387368202318
"Бифилайф 3,2% БЗМЖ 300г",0.17791582679798315,0.3217657050598867,22.99288896587992,26.326284959445275,-0.029370140759759744
Бифштекс с запеченным картофелем и перечным соусом 300 г,0.38956153422226053,0.48088664934387365,31.116896480633315,33.06095714239131,0.0935202761366628
