Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
"Ватрушка ""Венгерская"" 80 г",5.754530911252607,1.74385603731929,70.23021164080173,55.777748252491996,-0.018378406997217045
Ватрушка куриная с грибным жульеном и фарфале 250г,0.16533175309676826,0.3008815605914456,21.69704990762868,23.036244482782553,0.34710273160305816
Ватрушка маковая с творогом 85г,9.731284177892055,2.452515507397641,52.59635482290439,37.82693409715006,0.36598350712715677
"Ватрушка сл. Добрынинская c курагой 0,1",5.523379537638818,1.6739205127965815,61.227101191993505,43.41652904255001,0.03615400745150599
"Ватрушка сл. Добрынинская с капустой 0,1",4.391273636708192,1.4628499208665309,60.26896544187925,48.60832546275579,0.07749507367256725
"Ватрушка сл. Добрынинская с твор. и вишн. нач. 0,1",16.263583757074283,2.7224855407550494,66.29830365966964,47.72921754069306,0.2423912372293049
"Ватрушка сл. Добрынинская с твор. нач. и лим. 0,1",10.148659085000418,2.061203766196737,62.89710717758021,50.55782822746714,0.07921737208480761
"Ватрушка сл. Добрынинская три сыра со шпинатом 0,1",4.323753295978359,1.4560048878479066,62.32431593574148,46.43259423164283,0.14005928541367174
"Ватрушки сл. «Добрынинские» c курагой 0,3",0.056861948683541046,0.1633121617065308,14.177912956981032,15.588888162896122,-0.2538059684720797
"Ватрушки сл. «Добрынинские» с капустой 0,3",0.14010996164219924,0.2618321508806079,20.46117256165573,23.273968967165146,-0.2810053635858216
"Ватрушки сл. «Добрынинские» с твор. и вишн. нач. 0,3",0.503071999519145,0.5608809731791062,37.54540524737478,37.93972730588621,0.04987460355956286
"Ватрушки сл. «Добрынинские» с твор. нач. и лим. 0,3",0.4801773366920261,0.4960165690919413,33.361830831412945,36.54858930151146,-0.01198664507136682
"Ватрушки сл. «Добрынинские» три сыра со шпинатом 0,3",0.14830605370185942,0.28111595335185385,21.405443929530747,24.095653144444615,-0.06780358665338793
Вафельные рулеты Пикколо 150г,0.3075164573639852,0.4229659508185093,27.454138764629654,31.165912165574372,0.053300120785218064
Вафельные рулеты Пикколо с какао 150г,0.15984096933347852,0.3129823765283179,22.99629142480185,25.775019243508535,0.05064151547388529
Вафли Eco botanica из цельносмол муки с семечками 145 г,0.5715069251947988,0.3844364581389861,22.693693876808428,30.754916651118887,-0.016012311457420214
Вафли Eco botanica с цельносмол мукой и черникой с пониж содерж сах 145 г,0.16409023514584442,0.3406126043453748,26.69766780884148,28.611458765011484,-0.06417343675466736
Вафли MILKA шоколадные 30 г,4.668525779993229,1.3617525823978809,54.46550665550064,49.893414176010516,-0.017465286608597586
Вафли Голландские с молочной карамелью 150г,0.22942555404543252,0.37272896528301447,26.95454644329735,29.71757966445656,-0.02651716405160731
Вафли Киндер Буэно в мол шок 43г,0.3238010821684348,0.4524828895976418,30.201798259826358,33.182078570493736,-0.00461361390719528
"Вафли Особые (мягкие) с какао, 0,12",0.21788724988878064,0.30673072546333613,22.153427430244236,26.025637312040644,0.00103155606547356
"Вафли Особые (мягкие), 0,12",0.7306818096958672,0.7493055394105237,49.167177457241415,45.255087033704896,-0.18006380810691058
Вафли с какао Классические 165г,0.18573134993428633,0.3442949094388673,24.083291528711108,27.051742884482433,0.06360444408130639
Вафли с молоком Классические 165г,0.12639446811167826,0.2452975346596585,18.024812366721992,21.259119670503736,0.02906067677847135
Вафли с халвой Яшкино 200г,0.22012740487673815,0.37065441509758285,25.876299247307106,29.26219066559865,-0.12565150221059262
Вацлавский (порц.) 0.113,1.9997756431279554,1.0765697465933326,54.13600719938771,46.56917478902457,-0.03496563611679426
Вацлавский 0.45,0.5310840399036073,0.4721457133915489,30.067314319527167,33.27622714062778,0.37590360109388
Вацлавский 0.9,0.613225077760343,0.5341188100282528,32.408363141589604,35.779525105507055,0.36504391926968016
Вертута с тыквой 110гр,8.251515078490403,1.693054650428402,49.431968085106114,56.43515501428007,0.3345552356056126
"Весенний вальс 2,0",0.05101560660578905,0.08041335006071934,5.708808592200886,7.621787092711658,0.2749803563595935
Ветчина Фермерская вес в натур.оболочке,0.019073362971037594,0.09111913269072049,23.313715268827803,24.638100263293634,-0.1249246982787462
Ветчина в синюге вес (нет цены),0.014165766285141634,0.06516435473627219,14.266397078864099,17.499313332542883,-0.21271243044748878
"Ветчина для завтрака из свинины варёная, в/с 0,400 кг",0.2710127445018104,0.2988905826874279,20.178029911459763,25.187408653434932,-0.04845026672811725
Ветчина для завтрака серв.нарезка 190г,0.11979689846457132,0.20923510544789736,15.358636101222856,18.72103575060134,-0.15404345520870377
Ветчина из мяса индейки с языком и фисташками 150г,0.6977499252089256,0.4982813862095881,29.100750365234244,35.661314895392096,-0.029432267840078685
"Ветчина куриная Аппетитная, в/с 350г (нет цены)",0.05574051728917784,0.11439349321001119,8.804779748778797,10.837278304106324,-0.06234868245256586
"Вечерняя Прага 0,9кг",0.5267644215391534,0.5058911401278862,30.55695350100438,34.04254052871299,0.3243890531261946
"Вишневый сок VI NATURE 0,75 л",0.1219664737383359,0.19031585495451606,14.697931994456503,17.595239420323182,-0.05338670304224635
Вишня в шоколаде 1кг,0.3597409337428247,0.39954973501425384,27.20578208642787,30.71862897771926,0.27185848751793096
"Вода ARGIL AQUA SPORT без газ 0,5л",2.228947153839478,1.0066837928126475,50.54391889731807,49.41062652796022,-0.04215363108213266
